danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,label
0.605,0.73,4,-7.871,1,0.0425,0.087,0.00269,0.187,0.263,130.025,6SL7KzIA96f0HiKjuv7tED,4,saved
0.813,0.453,1,-6.941,1,0.338,0.0933,0.0,0.14,0.191,161.997,5nN8BwAQDJDguq7Dpd3JQQ,4,saved
0.646,0.626,5,-6.351,1,0.0729,0.0167,8.7e-06,0.112,0.372,83.981,3HYgLawcb8IUGHHlHUQffN,4,saved
0.491,0.879,1,-6.749,1,0.0296,0.00113,1.49e-05,0.0769,0.693,109.1,5cINewSbVqBpnPkLUJjPzL,4,saved
0.433,0.499,1,-8.499,0,0.357,0.172,0.0,0.346,0.545,195.842,5vjV8rtLO9H1XVMFTXSbnZ,4,saved
0.807,0.693,11,-5.056,1,0.0481,0.0504,7.75e-06,0.0762,0.142,127.035,0lwkTJnLBVWvEnxtku7Msy,4,saved
0.212,0.348,0,-15.118,1,0.0305,0.734,0.995,0.495,0.291,75.042,6ZiD3lmvLOiUD1FYRyQPlV,4,saved
0.852,0.553,1,-7.286,1,0.187,0.0563,0.0,0.332,0.656,142.072,27GmP9AWRs744SzKcpJsTZ,4,saved
0.83,0.536,4,-6.324,0,0.152,0.0919,0.0,0.102,0.375,139.961,0OAyZn9pGuuL2FJih1PM58,4,saved
0.674,0.464,8,-8.943,0,0.436,0.328,0.0,0.155,0.428,139.988,3Z0VsaeB0yYjZwhtiKU0td,4,saved
0.519,0.574,1,-7.696,1,0.184,0.633,0.0,0.271,0.434,100.22,4QGJfw4TLQ07KM8m7Dq5Hu,3,saved
0.82,0.687,5,-7.478,1,0.21,0.117,0.0,0.099,0.579,125.039,3skZx53uk46gN49mhItqN3,4,saved
0.616,0.656,5,-7.298,1,0.0344,0.096,0.000879,0.205,0.286,150.071,3n69hLUdIsSa1WlRmjMZlW,4,saved
0.794,0.522,8,-7.829,1,0.159,0.0328,0.0,0.156,0.567,86.318,6V2D8Lls36APk0THDjBDfE,4,saved
0.638,0.668,9,-6.077,0,0.225,0.0212,0.0,0.061,0.618,134.904,4tiw8jOWRemDkmthcSnFA8,4,saved
0.52,0.745,11,-5.062,1,0.0341,0.00704,0.00238,0.119,0.208,109.988,4DHkzbZSWxsCsvRoEzr28A,4,saved
0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,58ge6dfP91o9oXMzq3XkIS,4,saved
0.618,0.61,9,-7.812,0,0.39,0.332,0.0,0.108,0.529,126.016,73ZaCmh5nzvBzbhREnQvcB,4,saved
0.661,0.973,0,-2.994,0,0.037,0.11,1.74e-05,0.617,0.75,108.037,6sbXGUn9V9ZaLwLdOfpKRE,4,saved
0.941,0.335,5,-10.179,0,0.505,0.17,0.0,0.262,0.707,120.041,5hTpBe8h35rJ67eAWHQsJx,4,saved
0.542,0.792,2,-3.525,1,0.307,0.0162,0.0,0.239,0.371,142.247,7y0T0GrkJOUZm1iXwCxJqQ,4,saved
0.755,0.575,4,-8.392,0,0.0673,0.0443,0.00127,0.276,0.493,85.994,7txPE73wHbuXYkM1h8zNrG,4,saved
0.697,0.377,3,-7.755,1,0.0397,0.556,0.0,0.0999,0.336,138.754,0xCA70t1ZA4fa9UOE0lIJm,4,saved
